Data,Salário mínimo real - R$ - Instituto de Pesquisa Econômica Aplicada (IPEA) - GAC12_SALMINRE12,
1940.07,799.254295256538,
1940.08,797.022631887249,
1940.09,796.305956526377,
1940.10,783.842855129812,
1940.11,766.21979973589,
1940.12,779.550106558031,
1941.01,759.35136037213,
1941.02,728.115217539677,
1941.03,753.274588805795,
1941.04,744.048388784864,
1941.05,717.085956808849,
1941.06,699.391355514338,
1941.07,710.474761798392,
1941.08,701.080285966441,
1941.09,695.378184850665,
1941.10,705.1801894845,
1941.11,691.420913309636,
1941.12,700.527774376534,
1942.01,706.961120573751,
1942.02,703.443901068414,
1942.03,704.641792115008,
1942.04,672.303971104864,
1942.05,659.768372036178,
1942.06,637.026525090447,
1942.07,618.953094724491,
1942.08,610.949654253769,
1942.09,598.500836847344,
1942.10,605.770077780712,
1942.11,604.078657539599,
1942.12,605.349892313457,
1943.01,594.354337077526,
1943.02,586.148261417677,
1943.03,586.970019444898,
1943.04,569.265851464359,
1943.05,566.997860024261,
1943.06,569.675334094504,
1943.07,690.817003898072,
1943.08,689.506940710721,
1943.09,675.457426244826,
1943.10,648.293911358891,
1943.11,647.516891089582,
1943.12,804.0271169952,
1944.01,727.955741960344,
1944.02,718.501808088811,
1944.03,696.556392208595,
1944.04,692.840984505272,
1944.05,675.911903636641,
1944.06,666.561933979095,
1944.07,668.800193274767,
1944.08,665.374259129154,
1944.09,664.190809130955,
1944.10,628.68908207771,
1944.11,606.974888234239,
1944.12,582.364593568275,
1945.01,576.29831939554,
1945.02,580.553908680869,
1945.03,567.86357061782,
1945.04,573.752727724242,
1945.05,573.752727724242,
1945.06,579.765249506182,
1945.07,575.41031308793,
1945.08,567.86357061782,
1945.09,569.487317392943,
1945.10,556.4407681985,
1945.11,552.427976627797,
1945.12,548.573310691057,
1946.01,534.155282338652,
1946.02,532.726513153084,
1946.03,534.155282338652,
1946.04,528.298934543672,
1946.05,522.661040919284,
1946.06,512.96887460752,
1946.07,505.590139603245,
1946.08,476.328240706983,
1946.09,458.280761912259,
1946.10,441.550573681919,
1946.11,429.798649853831,
1946.12,421.372592762645,
1947.01,398.816080753874,
1947.02,392.786107177459,
1947.03,386.885646897962,
1947.04,386.085594101015,
1947.05,391.550776325543,
1947.06,399.669822368816,
1947.07,416.438593222418,
1947.08,417.311232494734,
1947.09,409.363158612919,
1947.10,405.528949680268,
1947.11,403.829477640923,
1947.12,398.01900393529,
1948.01,391.961490807979,
1948.02,390.955171191014,
1948.03,390.453946612564,
1948.04,389.455343168542,
1948.05,386.981039844727,
1948.06,384.053062241866,
1948.07,383.086891016101,
1948.08,381.646714734085,
1948.09,380.217326289388,
1948.10,378.798604922637,
1948.11,377.858658012159,
1948.12,376.457451616564,
1949.01,372.771209740269,
1949.02,369.604464026456,
1949.03,366.050574949279,
1949.04,362.564378997381,
1949.05,359.567979170956,
1949.06,356.20360041848,
1949.07,354.958133284149,
1949.08,354.132649253256,
1949.09,352.901597170104,
1949.10,350.868753868433,
1949.11,348.85919628614,
1949.12,346.872526603417,
1950.01,345.69134887378,
1950.02,344.908356011099,
1950.03,343.740494760497,
1950.04,343.740494760497,
1950.05,351.679074316166,
1950.06,351.679074316166,
1950.07,342.580515588076,
1950.08,341.811535755107,
1950.09,340.664517178747,
1950.10,337.64310239224,
1950.11,335.042990492629,
1950.12,332.120041829662,
1951.01,325.72628701369,
1951.02,319.239075846751,
1951.03,313.327241108848,
1951.04,309.191957723655,
1951.05,305.164407172144,
1951.06,301.240433588328,
1951.07,299.757951139567,
1951.08,298.289988597258,
1951.09,296.836333682066,
1951.10,293.971118105985,
1951.11,290.882596330277,
1951.12,288.1306323158,
1952.01,881.53045016489,
1952.02,855.649218087095,
1952.03,830.526529473139,
1952.04,824.828234245193,
1952.05,819.207598918139,
1952.06,813.663046641197,
1952.07,810.235653858378,
1952.08,806.837014370717,
1952.09,803.466767861232,
1952.10,796.810042361139,
1952.11,790.262712514294,
1952.12,783.183811995029,
1953.01,770.015789535545,
1953.02,757.283244984169,
1953.03,744.964927288842,
1953.04,737.53812970084,
1953.05,730.257950744036,
1953.06,723.664199495783,
1953.07,715.055554743417,
1953.08,707.168912595511,
1953.09,698.946018263005,
1953.10,697.425468549598,
1953.11,695.911520354483,
1953.12,694.905867868421,
1954.01,674.912085003435,
1954.02,655.142861805106,
1954.03,637.765067062265,
1954.04,629.005703812881,
1954.05,620.483691051545,
1954.06,612.579440210124,
1954.07,1208.98770726574,
1954.08,1193.23786740682,
1954.09,1177.89310609908,
1954.10,1162.93799411112,
1954.11,1148.357875976,
1954.12,1134.80793053675,
1955.01,1101.03001846582,
1955.02,1068.61080125544,
1955.03,1039.72942824854,
1955.04,1029.71062219475,
1955.05,1019.34257671425,
1955.06,1009.71099331223,
1955.07,1000.25972036391,
1955.08,990.983741504272,
1955.09,981.878224737005,
1955.10,967.555051438527,
1955.11,953.643749261176,
1955.12,940.586524332417,
1956.01,911.611110075731,
1956.02,883.555095204315,
1956.03,859.088629861453,
1956.04,848.477918950063,
1956.05,837.761081123603,
1956.06,827.667574122114,
1956.07,812.97525032113,
1956.08,1264.75946161877,
1956.09,1243.58545674888,
1956.10,1224.09195481431,
1956.11,1205.20015179185,
1956.12,1187.34533472827,
1957.01,1147.96109445081,
1957.02,1109.89095611443,
1957.03,1076.1628210523,
1957.04,1070.48885187276,
1957.05,1064.87439985245,
1957.06,1058.95020291307,
1957.07,1057.11238583061,
1957.08,1055.28093679071,
1957.09,1053.0915572538,
1957.10,1048.37892722134,
1957.11,1043.70828772378,
1957.12,1039.07908003344,
1958.01,1017.55455515469,
1958.02,996.577481537304,
1958.03,977.0743611094,
1958.04,965.000248282003,
1958.05,953.220902528326,
1958.06,941.725659733457,
1958.07,932.784313500153,
1958.08,924.011160066141,
1958.09,915.401497919447,
1958.10,902.649906217546,
1958.11,890.248694410406,
1958.12,878.436914790309,
1959.01,1320.72194607236,
1959.02,1260.4845624245,
1959.03,1205.80456510769,
1959.04,1185.00458493087,
1959.05,1164.91003043834,
1959.06,1145.48561354204,
1959.07,1131.47026015282,
1959.08,1117.79372516259,
1959.09,1104.44386900539,
1959.10,1080.13221151156,
1959.11,1056.63559781355,
1959.12,1034.3619285114,
1960.01,997.458744171225,
1960.02,963.098058411671,
1960.03,930.125455638197,
1960.04,915.952115361805,
1960.05,902.204241210033,
1960.06,888.698688902139,
1960.07,877.829245281029,
1960.08,867.222471713161,
1960.09,856.716302449577,
1960.10,1339.25113473267,
1960.11,1309.17096631601,
1960.12,1280.41234299204,
1961.01,1231.43370183085,
1961.02,1186.24695791538,
1961.03,1144.08888758947,
1961.04,1118.63881492282,
1961.05,1094.4520297353,
1961.06,1071.13988153128,
1961.07,1054.11669667614,
1961.08,1037.48621481111,
1961.09,1021.37233094905,
1961.10,1372.87750148545,
1961.11,1320.04863684496,
1961.12,1271.13486861634,
1962.01,1189.96872256461,
1962.02,1118.54588542626,
1962.03,1055.21129277575,
1962.04,1021.00444328482,
1962.05,988.945728668274,
1962.06,958.838960001321,
1962.07,934.466632832033,
1962.08,911.302612238142,
1962.09,889.332635126721,
1962.10,862.901295894804,
1962.11,856.043620492318,
1962.12,814.549068107595,
1963.01,1181.7595927379,
1963.02,1102.92399212144,
1963.03,1033.88538115199,
1963.04,999.977429729261,
1963.05,968.222983361513,
1963.06,938.423201548547,
1963.07,906.333878286117,
1963.08,876.366577441978,
1963.09,848.317546359536,
1963.10,815.832288888666,
1963.11,785.779920620626,
1963.12,757.760574479906,
1964.01,701.509674882177,
1964.02,1313.30187037363,
