country,gdp,gdpyoy,gdpqoq,interest,inflation,jobless,gov_budget,debt_gdp,current_account,currency,population,country.name,continent,region
Niger,7,5.6,NA,4.5,-0.6,2.25,-6.9,36.4,-21.2,620.0,18.53,Niger,Africa,Western Africa
Palestine,7,3.9,NA,NA,-1.15,28.4,3.2,17.3,-10.9,NA,4.68,"Palestine, State of",Asia,Western Asia
Malawi,7,2.9,NA,24.0,19.9,6.6,-4.9,29.4,-17.8,715.78,17.22,Malawi,Africa,Eastern Africa
Moldova,7,6.3,0.6,9.0,2.6,2.9,-2.2,27.5,-7.2,20.13,3.55,"Moldova, Republic of",Europe,Eastern Europe
Kyrgyzstan,7,2.0,NA,5.5,-0.5,2.2,-1.5,55.2,-14.8,69.33,5.89,Kyrgyzstan,Asia,Central Asia
Guinea,7,0.1,NA,12.5,8.5,1.7,-7.3,29.5,-23.6,9300.0,12.61,Guinea,Africa,Western Africa
Kosovo,6,3.3,NA,NA,0.9,32.9,-1.3,13.58,-7.6,462.8,1.8,Kosovo,NA,NA
Monaco,6,5.4,NA,NA,NA,NA,NA,NA,NA,1.04,0.04,Monaco,Europe,Western Europe
Somalia,6,2.6,NA,NA,-4.0,NA,NA,NA,NA,528.0,10.79,Somalia,Africa,Eastern Africa
Suriname,5,-2.1,NA,12.5,77.1,8.9,-9.8,39.61,3.8,7.31,0.54,Suriname,Americas,South America
Mauritania,5,3.1,NA,9.0,2.6,12.85,-3.4,80.6,-20.0,354.77,4.07,Mauritania,Africa,Western Africa
Liechtenstein,5,-0.8,NA,NA,-0.3,2.4,NA,NA,NA,1.03,0.04,Liechtenstein,Europe,Western Europe
Montenegro,4,2.7,NA,NA,0.4,19.51,-7.0,61.4,-12.9,1.04,0.62,Montenegro,Europe,Southern Europe
Fiji,4,4.2,NA,0.5,4.3,7.9,-4.1,50.6,-7.2,2.13,0.87,Fiji,Oceania,Melanesia
Eritrea,4,0.3,NA,NA,12.5,14.5,-10.7,23.9,-1.2,15.29,6.54,Eritrea,Africa,Eastern Africa
Swaziland,4,1.7,NA,7.0,8.3,6.7,-6.8,9.04,9.0,13.97,1.11,Swaziland,Africa,Southern Africa
Sierra Leone,4,-21.5,NA,10.5,9.96,3.3,-3.1,37.65,-33.0,5489.0,6.45,Sierra Leone,Africa,Western Africa
Togo,4,5.5,NA,4.5,-1.1,6.9,-5.3,25.6,-11.2,620.0,7.31,Togo,Africa,Western Africa
Guyana,3,3.0,NA,5.0,0.8,21.0,-1.4,48.8,-4.6,203.62,0.74,Guyana,Americas,South America
Cayman Islands,3,3.0,NA,NA,-0.8,5.6,4.2,18.5,-23.1,0.82,0.06,Cayman Islands,Americas,Caribbean
Burundi,3,-4.1,NA,7.95,7.1,7.7,-9.1,15.2,-4.5,1673.27,11.18,Burundi,Africa,Eastern Africa
Maldives,3,6.8,NA,7.0,0.4,11.6,-6.9,20.4,-8.8,15.13,0.35,Maldives,Asia,Southern Asia
Lesotho,2,3.4,NA,6.69,5.7,25.3,0.5,57.3,-8.4,14.0,2.14,Lesotho,Africa,Southern Africa
Liberia,2,0.3,NA,13.7,8.5,3.8,-12.1,24.0,-36.9,91.0,4.5,Liberia,Africa,Western Africa
Cape Verde,2,3.5,4.5,7.5,-1.3,12.4,-4.1,123.0,-4.3,105.65,0.52,Cabo Verde,Africa,Western Africa
Central African Republic,2,4.9,NA,2.45,38.04,7.6,-3.3,41.83,-11.5,627.61,4.9,Central African Republic,Africa,Middle Africa
Bhutan,2,5.5,NA,6.0,3.31,2.6,-2.4,98.9,-30.2,67.84,0.78,Bhutan,Asia,Southern Asia
Djibouti,2,6.7,NA,12.7,3.7,54.0,-2.6,53.7,-16.0,177.8,0.89,Djibouti,Africa,Eastern Africa
East Timor,1,4.3,NA,NA,-1.3,11.0,-29.7,NA,8.0,NA,1.24,Timor-Leste,Asia,South-Eastern Asia
Guinea Bissau,1,5.2,NA,4.5,0.6,7.6,-2.3,32.2,1.5,NA,1.84,Guinea-Bissau,Africa,Western Africa
Gambia,1,4.7,NA,23.0,7.43,29.8,-6.5,50.7,-20.0,41.9,1.99,Gambia,Africa,Western Africa
Comoros,1,3.2,NA,1.16,1.4,7.0,-2.2,25.4,-8.2,463.0,0.79,Comoros,Africa,Eastern Africa
Seychelles,1,4.3,NA,12.4,-0.4,4.2,1.2,60.0,-17.0,13.09,0.09,Seychelles,Africa,Eastern Africa
Sao Tome and Principe,0,5.3,NA,10.0,5.8,13.6,-5.3,86.1,-10.7,23469.6,0.19,Sao Tome and Principe,Africa,Middle Africa
